name,author,price,original price
"Human Resource Workers Gift , HR Office Gift Essential T-Shirt",majidkacm,$16.81,$24.01
Sailor moon crying  Sticker,eig,$2.51,$2.78
Crying Is Cool Sticker,Chloe J Letters,$3.76,$4.18
The binding os isaac Art Jigsaw Puzzle,FeelTheDrawing,$31.26,$39.07
Blonde Crying Comic Girl Sticker,turddemon,$2.51,$2.78
Watering the flower Classic T-Shirt,bringodesign,$16.08,$22.97
Pop Whatever... Art Print,Corbin Hunsaker,$29.22,$34.38
FCC Crystal Crying Constantly Sticker,seetheceiling,$2.51,$2.78
skeleton crying Sticker,jhuizar,$2.51,$2.78
"Someone's gonna end up crying, probably me Sticker",becca21,$2.57,$2.85
cute cat sticker Sticker,The Kiwi Store,$2.51,$2.78
I know way too much about FNAF Lore Sticker,LittleDollGames,$2.56,$2.84
I need to take a shower so I can't tell if I'm crying or not. Sticker,despair-,$2.51,$2.78
Crybaby Sticker,Me And The Moon,$3.13,$3.48
ENOUGH ABOUT MY RACIST PAST | LETS DISCUSS MY RACIST FUTURE | SAUL GOODMAN Essential T-Shirt,Hunters11,$17.54,$25.06
Dali Crying Eye Classic T-Shirt,rauthom3,$17.54,$25.06
Crying Child and Fredbear Plush Sticker,tavi bahama,$2.51,$2.78
JFK crying: Clone High Sticker,Larknado,$2.19,$2.44
I'd rather be crying to Enya Sticker,AshOakMaple,$2.51,$2.78
My Back Hurts Shrimp Sticker,Freckled Frog Studio,$2.49,$2.76
crying over fictional characters pink and purple tissue box pack  Sticker,catdiasart,$2.51,$2.78
Derry Girls Quote - Do not come crying to me  Baseball Cap,EagleFang101,$20.08,$25.09
World's Best Tickle Torturer Sticker,Meg McCombs,$2.51,$2.78
Colors/Black Screaming Thurston Meme Cat Sticker,Thurstonwaffles,$2.19,$2.44
American McGee's Alice Madness Returns Sticker,never2dark2play,$2.51,$2.78
Kasane Teto: Liar Dancer Sticker,TL_Pebbles,$3.34,$3.71
Baby Mute Button Short Sleeve Baby One-Piece,bouncebaby,$20.94,$26.18
kendall roy crying Essential T-Shirt,OrianaRoxanaty,$19.00,$27.14
Did The Thing Anyway Green Sticker,Me And The Moon,$3.34,$3.71
KIM KARDASHIAN Sticker,CHINATOWNMARKET,$2.72,$3.01
Cute Crying Face Minimalist Doodle Sticker,somimalikkk,$2.30,$2.55
Crying Eyes Wiping Tears Aesthetic Art Sticker,MH Digital Studio,$2.51,$2.78
Crybaby Crying Again - Brown Bear - Popmart Sticker,penny555,$3.13,$3.48
"Fine, I'll go Sticker",JadeKaz,$2.51,$2.78
Lonely Spaceman Sticker,jackteagle,$2.72,$3.02
Cat Selfie With Alien UFO Cute Cat Gifts Oversized T-Shirt,BASKF,$21.00,$30.00
Nothin' Like Crying Gift For Men and Women Classic T-Shirt,ShaunaCreveling,$17.54,$25.06
happy meal cat Sticker,hotdogging,$2.51,$2.78
crying cat pack  Sticker,crazylazygirl,$2.82,$3.13
Go Around Me I'm Crying Funny Car Bumper Sticker,Fleyshop,$3.66,$4.06
Gogo Yubari Glitch  Sticker,STILLBIRTH,$2.82,$3.13
Mdzs Wei Wuxian Crying  Sticker,cyralavy,$2.51,$2.78
"Wish I Hadn't Cried So Much, Alice in Wonderland Sticker",12jadis12,$2.72,$3.02
anya taylor joy crying coquette Sticker,blondiefan,$2.51,$2.78
Crying Spandam Sticker,PatiSilence,$2.51,$2.78
Dropped Popsicle  Magnet,Osokooma,$7.19,$8.46
Lewis Hamilton Ferrari crying rat sticker Sticker,lemonthings,$2.51,$2.78
Sad window file Classic T-Shirt,coa6ulasol7e,$18.24,$26.06
Please Let Me Merge Before I Start Crying - Funny Possum Bumper Sticker Sticker,Ssimo30,$3.76,$4.18
Tears of Melancholy Graphic T-Shirt,kdhill,$23.62,$31.50
Ok Boomer Meme Sticker,bgsmall,$3.49,$3.87
